Date,Open,High,Low,Close,Adj Close,Volume
2023-02-02,121.949997,122.500000,118.400002,119.949997,119.949997,38768010
2023-02-03,120.050003,121.000000,117.199997,120.349998,120.349998,46977350
2023-02-06,120.000000,120.000000,117.000000,117.449997,117.449997,49546361
2023-02-07,112.599998,115.349998,110.550003,111.449997,111.449997,110953246
2023-02-08,111.449997,112.750000,110.099998,111.449997,111.449997,66523699
2023-02-09,112.150002,112.949997,109.949997,111.250000,111.250000,64710455
2023-02-10,111.000000,111.250000,108.300003,108.800003,108.800003,60810058
2023-02-13,108.800003,110.599998,108.400002,108.750000,108.750000,56186469
2023-02-14,109.550003,109.900002,108.250000,109.250000,109.250000,31163587
2023-02-15,109.000000,110.599998,108.800003,110.300003,110.300003,35544190
2023-02-16,111.000000,112.199997,110.650002,112.000000,112.000000,30956191
2023-02-17,111.550003,113.099998,111.300003,112.250000,112.250000,34107244
2023-02-20,112.300003,112.699997,111.050003,112.349998,112.349998,19896764
2023-02-21,112.900002,114.199997,112.750000,113.150002,113.150002,29830864
2023-02-22,113.250000,113.699997,110.650002,111.150002,111.150002,24391211
2023-02-23,111.550003,113.650002,111.349998,112.050003,112.050003,30845778
2023-02-24,112.500000,112.900002,109.550003,109.750000,109.750000,34326940
2023-02-27,109.800003,110.050003,105.150002,106.099998,106.099998,56217189
2023-02-28,106.849998,107.050003,103.550003,103.949997,103.949997,76540448
2023-03-01,104.699997,107.099998,104.500000,105.500000,105.500000,76175319
2023-03-02,106.050003,106.900002,104.349998,104.650002,104.650002,55276248
2023-03-03,106.000000,107.449997,105.000000,107.000000,107.000000,117175295
2023-03-06,107.500000,107.599998,105.000000,105.650002,105.650002,106868143
2023-03-08,105.300003,106.900002,104.000000,106.500000,106.500000,43939583
2023-03-09,107.849998,108.949997,107.500000,108.199997,108.199997,51967449
2023-03-10,107.000000,108.349998,106.599998,108.099998,108.099998,47699832
2023-03-13,108.250000,109.000000,106.349998,106.800003,106.800003,34552596
2023-03-14,107.000000,108.550003,106.199997,106.400002,106.400002,48584984
2023-03-15,107.500000,109.150002,107.400002,108.650002,108.650002,38930902
2023-03-16,107.250000,107.250000,103.699997,105.050003,105.050003,81088340
2023-03-17,106.449997,107.349998,105.000000,107.000000,107.000000,48962238
2023-03-20,106.099998,106.449997,103.849998,104.500000,104.500000,41569640
2023-03-21,105.099998,105.400002,104.300003,104.750000,104.750000,26434897
2023-03-22,104.750000,105.949997,104.400002,104.800003,104.800003,25891259
2023-03-23,104.400002,105.500000,104.349998,104.900002,104.900002,20913844
2023-03-24,105.000000,105.050003,101.550003,102.099998,102.099998,39014278
2023-03-27,102.550003,103.400002,102.099998,102.300003,102.300003,24753289
2023-03-28,102.849998,103.099998,102.349998,102.500000,102.500000,18703734
2023-03-29,102.500000,104.500000,101.650002,103.599998,103.599998,37221124
2023-03-31,105.000000,105.500000,104.099998,104.500000,104.500000,34579415
2023-04-03,105.099998,105.250000,103.800003,104.099998,104.099998,21840428
2023-04-05,104.099998,105.000000,103.199997,104.849998,104.849998,25194802
2023-04-06,104.849998,105.099998,104.199997,104.349998,104.349998,21053782
2023-04-10,104.500000,105.750000,104.500000,104.949997,104.949997,19992257
2023-04-11,105.550003,107.849998,105.099998,107.550003,107.550003,49304956
2023-04-12,108.199997,108.400002,106.949997,107.599998,107.599998,27349538
2023-04-13,107.500000,108.150002,105.900002,107.500000,107.500000,34880922
2023-04-17,107.599998,108.300003,106.750000,107.150002,107.150002,24642162
2023-04-18,107.199997,107.900002,106.849998,107.599998,107.599998,25476339
2023-04-19,107.849998,110.400002,107.750000,108.099998,108.099998,62100775
2023-04-20,108.199997,108.699997,107.400002,108.000000,108.000000,18337948
2023-04-21,108.000000,108.099998,105.349998,106.150002,106.150002,37638506
2023-04-24,106.400002,106.699997,105.349998,106.500000,106.500000,23475012
2023-04-25,106.699997,107.599998,106.250000,107.050003,107.050003,23333425
2023-04-26,106.500000,107.050003,105.849998,106.849998,106.849998,23590297
2023-04-27,106.300003,107.849998,106.300003,107.650002,107.650002,22364308
2023-04-28,107.800003,108.500000,107.300003,107.949997,107.949997,30072920
2023-05-02,108.000000,110.849998,108.000000,110.300003,110.300003,52822162
2023-05-03,109.800003,111.000000,108.750000,109.699997,109.699997,51272624
2023-05-04,110.000000,111.900002,109.500000,111.050003,111.050003,38636907
2023-05-05,110.849998,110.849998,108.400002,108.650002,108.650002,32958346
2023-05-08,109.250000,109.849998,108.250000,109.550003,109.550003,23130472
2023-05-09,109.599998,111.199997,109.150002,109.550003,109.550003,27999202
2023-05-10,109.599998,110.000000,108.599998,109.250000,109.250000,19213215
2023-05-11,109.199997,109.500000,108.250000,108.550003,108.550003,19817637
2023-05-12,108.349998,108.400002,106.550003,106.750000,106.750000,36794838
2023-05-15,107.050003,108.199997,105.650002,107.699997,107.699997,22148028
